#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260818    11:28:11       0    375     63      -    100     57      0      0      0      0  10251   2700  10132     46      0      8      2 
 20260818    11:28:12       0    373     64      -    100     54      0      0      0      0  10251   2700  10132     46      0      7      2 
 20260818    11:28:13       0    373     64      -    100     55      0      0      0      0  10251   2700  10132     46      0     25      2 
 20260818    11:28:14       0    376     63      -    100     55      0      0      0      0  10251   2700  10132     46      0      5      2 
 20260818    11:28:15       0    374     64      -    100     55      0      0      0      0  10251   2700  10164     46      0      6      2 
 20260818    11:28:17       0    376     64      -    100     55      0      0      0      0  10251   2700  10164     46      0     21      3 
 20260818    11:28:18       0    374     65      -    100     58      0      0      0      0  10251   2700  10164     46      0     13      2 
 20260818    11:28:19       0    375     62      -    100     56      0      0      0      0  10251   2700  10164     46      0      6      2 
 20260818    11:28:20       0    376     65      -    100     55      0      0      0      0  10251   2700  10164     46      0      8      5 
 20260818    11:28:21       0    375     63      -    100     60      0      0      0      0  10251   2700  10164     46      0      7      2 
 20260818    11:28:22       0    375     64      -    100     58      0      0      0      0  10251   2700  10164     46      0      6      2 
 20260818    11:28:23       0    377     64      -    100     57      0      0      0      0  10251   2700  10164     46      0      5      3 
 20260818    11:28:24       0    376     65      -    100     55      0      0      0      0  10251   2700  10164     46      0     26      2 
 20260818    11:28:25       0    377     65      -    100     55      0      0      0      0  10251   2700  10164     46      0      6      2 
 20260818    11:28:26       0    376     65      -    100     54      0      0      0      0  10251   2700  10164     46      0      6      2 
 20260818    11:28:27       0    376     65      -    100     54      0      0      0      0  10251   2700  10164     46      0      6      5 
 20260818    11:28:28       0    378     65      -    100     54      0      0      0      0  10251   2700  10164     46      0      5      2 
 20260818    11:28:29       0    377     65      -    100     58      0      0      0      0  10251   2700  10164     46      0      5      2 
 20260818    11:28:30       0    378     66      -    100     58      0      0      0      0  10251   2700  10164     46      0      5      4 
 20260818    11:28:31       0    377     66      -    100     57      0      0      0      0  10251   2700  10164     46      0     11      2 
 20260818    11:28:32       0    378     65      -    100     60      0      0      0      0  10251   2700  10260     46      0      5      2 
 20260818    11:28:33       0    379     65      -    100     58      0      0      0      0  10251   2700  10260     46      0      6      5 
 20260818    11:28:34       0    239     58      -    100    100      0      0      0      0  10251   2700  22452     46      0      7      3 
 20260818    11:28:35       0    283     54      -     97      8      0      0      0      0  10251   2700   9428     46      0  13749   1464 
 20260818    11:28:36       0    206     58      -     97     11      0      0      0      0  10251   2700  10036     46      0  10024   1072 
 20260818    11:28:37       0    224     56      -     97     11      0      0      0      0  10251   2700  10356     46      0   9325   1090 
 20260818    11:28:39       0    228     58      -     97     11      0      0      0      0  10251   2700   8052     46      0      0    306 
 20260818    11:28:40       0    329     66      -    100     26      0      0      0      0  10251   2700  11828     46      0    191    278 
 20260818    11:28:41       0    385     66      -    100     28      0      0      0      0  10251   2700  20212     46      0    531     97 
 20260818    11:28:42       0    386     68      -    100     36      0      0      0      0  10251   2700  21236     46      0    393    819 
 20260818    11:28:43       0    387     67      -    100     28      0      0      0      0  10251   2700  22132     46      0   2450    131 
 20260818    11:28:44       0    392     69      -    100     37      0      0      0      0  10251   2700  22132     46      0    405     79 
 20260818    11:28:45       0    394     69      -    100     39      0      0      0      0  10251   2700  22132     46      0  11910     85 
 20260818    11:28:46       0    389     68      -    100     32      0      0      0      0  10251   2700  22132     46      0   1395    235 
 20260818    11:28:47       0    385     68      -    100     26      0      0      0      0  10251   2700  22132     46      0    374     68 
 20260818    11:28:48       0    389     68      -    100     31      0      0      0      0  10251   2700  22132     46      0   6117    195 
 20260818    11:28:49       0    394     69      -    100     35      0      0      0      0  10251   2700  22132     46      0      2      1 
 20260818    11:28:50       0    384     65      -    100     37      0      0      0      0  10251   2700  21972     46      0     19      4 
 20260818    11:28:51       0    378     69      -    100     37      0      0      0      0  10251   2700  21940     46      0     20   1278 
